Sample,S1,S2,S3,S4,S5,S6,S7,S8,E12,Material
2021_Aug_31_SR-3501_SN19387Q4__00062.sed,6.821769230482976,7.4629481998625815,7.249444437270182,7.372425211630108,8.15933266618265,7.5737685466483455,6.576896645768899,5.294468851831213,110.63334266734282,2.0
2021_Aug_31_SR-3501_SN19387Q4__00508.sed,8.37226702855638,8.934033658334055,8.631458160780163,8.858333578582794,9.618174682704097,9.271103613686567,8.247730227810766,6.750927996106092,130.87518601373262,3.0
2021_Aug_30_SR-3501_SN19387Q4__00004.sed,8.512868708676404,9.0553091454328,8.743164329255993,8.989629849853674,9.74591526513575,9.442777467552268,8.423058613769575,6.911709285591266,132.25200507537284,0.0
2021_Sep_01_SR-3501_SN19387Q4__00738.sed,8.275004216029934,8.813020626045395,8.535436095349102,8.77581117006347,9.501882705509075,9.184895532284576,8.178021267027074,6.6284627284170945,130.3122526055647,6.0
2021_Aug_30_SR-3501_SN19387Q4__00132.sed,6.052226940617674,6.498108509940193,6.305218502296759,6.462652352263346,7.00975238340591,6.660725609230861,5.855378690076234,4.610798123111288,98.93407774343932,1.0
1405,8.445401544775265,8.984606376555456,8.668892556321278,8.897140798741768,9.64596708052181,9.320433675456023,8.338205086151548,6.796103056057408,131.3654712126211,7.0
4083,8.663323670858997,9.218452439865835,8.897640660044376,9.142716928022326,9.910038052552054,9.592186887942034,8.561583030963138,7.015052083885984,134.62408782396545,9.0
4640,7.964633931990617,8.48635444819545,8.201175922373677,8.42367787199645,9.131039033685127,8.808390286044244,7.832727900732181,6.3807805277593665,124.95680600217882,2.0
5331,6.2291716820008,6.697432939614785,6.476831810658714,6.645525744816338,7.199125263371262,6.942537468210543,6.117419652561827,5.023840946622006,99.29040868705147,8.0
3762,4.111711996602612,4.425696352734803,4.320427239942682,4.387433026247754,4.721653203033934,4.488380085581994,3.946769757202962,3.146253870957059,67.908190357243,8.0
2021_Aug_31_SR-3501_SN19387Q4__00408.sed,8.690583885086284,9.251152283935522,8.931778824564873,9.179712044375378,9.950792787803717,9.633553521790605,8.5890903450458,7.0452410985106155,135.14099916175994,0.0
586,6.694410020869295,7.112969850577881,6.867170291925758,7.042843111068239,7.600612025818677,7.384108894724927,6.666625201187014,5.337692077898785,105.30296114575881,7.0
1469,8.44921966544937,8.98861558496725,8.657415586889432,8.869420734914941,9.632676916231588,9.285592361185255,8.338676324095053,6.790531687546226,130.89750253902886,2.0
3842,8.093344765209245,8.627014010532871,8.338167998762803,8.558898872329566,9.28370429620462,8.952447727894384,7.961287825467684,6.489164658652291,126.95893997493472,2.0
4112,8.453871487520257,8.99092637500493,8.67202335785946,8.896983000087415,9.645676840842569,9.321332471254333,8.34984350486503,6.79928320438232,131.31751635562432,7.0
4105,8.415394529568987,8.943534021415886,8.623425927793487,8.847863176644715,9.586471232379992,9.272709266804227,8.317751140626708,6.768911783222728,130.51872900696506,7.0
1409,8.498609654187973,9.048450061353453,8.731566819372256,8.95991831497273,9.720712712720594,9.385718149393458,8.39269255925509,6.843290587998625,132.24959813767703,7.0
2021_Sep_01_SR-3501_SN19387Q4__00526.sed,8.131799369295551,8.676990814002199,8.37526491086687,8.573114171508502,9.318019008597442,8.98448892328645,8.007863033041664,6.518356941045891,127.33784961396147,5.0
2021_Aug_31_SR-3501_SN19387Q4__00610.sed,8.393483578006975,8.944003792863818,8.637075058480148,8.866954107600895,9.619832119441938,9.28832593570295,8.270494818350445,6.772952810955116,130.9189484892284,3.0
491,6.139842482887291,6.578151173372164,6.297185590273328,6.454189747633318,6.982023394013102,6.771541150528494,6.077097494705567,4.939958096880272,95.90445471819932,2.0
3554,8.499055426244928,9.047917982087263,8.741869456898865,8.985304186856201,9.735854974176505,9.419121712146968,8.393903086225512,6.861703325970004,132.6385576382695,7.0
1035,8.38123153935864,8.921794974723305,8.61841714739093,8.857110030347512,9.598512187922562,9.281492384667967,8.266756529635472,6.759578270171014,130.84245886697616,2.0
2021_Aug_31_SR-3501_SN19387Q4__00256.sed,6.37517844229574,6.8060726413111805,6.532388493002199,6.62838433687892,7.269492378985012,6.907851638733783,6.084313052400088,5.004945850039644,98.95714115924152,2.0
2021_Aug_31_SR-3501_SN19387Q4__00151.sed,6.755591524571877,7.253707400236401,6.974964796960707,7.080538991963579,7.76496135355316,7.361755254935547,6.483801763716683,5.319120931768736,105.7481100135637,2.0
1108,7.163651787807927,7.638373986148871,7.388937535024238,7.586952523144191,8.218927494988055,7.950066911888571,7.076953002418506,5.749972294537053,112.6003443624218,7.0
4034,6.574218331915964,6.6847755181066635,6.216699562046415,6.157162666562994,6.630769705758612,6.577357485898884,6.648256544156965,5.168499048877766,90.39848964998546,8.0
3010,8.554495354783194,9.088452259483269,8.760588735733679,8.993748221656993,9.743029110992733,9.438626105376137,8.466060097010446,6.926191644993851,132.31387399260777,9.0
643,7.328189961066383,7.6925679129074656,7.297678778891542,7.403819622879183,8.004350896600599,7.883293111642897,7.378748078853168,5.87085188073753,109.10609645574911,7.0
2021_Aug_31_SR-3501_SN19387Q4__00170.sed,7.0431142176155115,7.626304318052802,7.363476788235106,7.4750382635088055,8.215087748034634,7.737975283403319,6.795918062374497,5.559484050968898,111.74780739795662,2.0
2021_Aug_31_SR-3501_SN19387Q4__00748.sed,8.337472298307814,8.90331370604029,8.604618610138855,8.829602532304316,9.591941442726565,9.235510777614756,8.210914689576958,6.716957514779271,130.5230488809712,3.0
1203,8.501159108414907,9.057772730398101,8.752685025530116,8.992925505420994,9.750059497021034,9.423253541260806,8.39377168619812,6.861158976932471,132.81531996823418,7.0
947,8.685940829362803,9.245238248426089,8.92743555514621,9.175838819159498,9.94428725616589,9.629604648814846,8.586003600339717,7.039056246300294,135.10414177882245,9.0
2021_Sep_01_SR-3501_SN19387Q4__00114.sed,8.67341014253421,9.234863037381349,8.918137228956542,9.167481000960596,9.938901844556261,9.618169442600554,8.571867105999846,7.026976097069677,135.00333295169838,4.0
2021_Aug_31_SR-3501_SN19387Q4__00093.sed,7.4353750220697865,8.066617054193884,7.845349667016877,8.083860816653925,8.928709057315245,8.368900003915988,7.260824692922143,5.7974062520843646,120.51655628803888,2.0
2560,6.659903972681562,7.142082938915701,6.894205624894857,7.075003842366943,7.669071347108877,7.397378666893367,6.54612977915304,5.3876567706225496,104.81699891715454,8.0
585,6.662120328464807,7.080650650951318,6.835661345837836,7.009545562761801,7.564207438927967,7.347238079051715,6.632450281116472,5.309220424197911,104.84346408142713,7.0
2987,7.414492565305366,7.759096977987397,7.3925016640560415,7.49423839281889,8.110461808735362,7.848996537288878,7.317020458419903,5.825899663679544,110.98144543885557,8.0
2026,8.454619760815868,8.976335588054134,8.645192784886113,8.871758829314256,9.608539390866566,9.297474753987931,8.356933417338867,6.804892994784099,130.8348641783307,7.0
193,4.586466422614684,4.958867546085536,4.7225354768115695,4.799022338782018,5.178124151716949,5.090837886253828,4.535018495855448,3.876387180366553,70.98575389421788,2.0
2021_Sep_01_SR-3501_SN19387Q4__00799.sed,8.422982914486935,8.982309726775487,8.692395532840445,8.93900015654701,9.700766123102309,9.35818006889416,8.321115028302435,6.769918872883747,132.37383031783412,6.0
2021_Sep_01_SR-3501_SN19387Q4__00367.sed,7.965429741679788,8.48307847418992,8.191491140330776,8.4036915856313,9.099112428441511,8.85537670194062,7.896717853834957,6.459380460387149,124.18577855357343,5.0
