Sample,E12,R,G,B,G1,G2,G3,G4,G5,G6,Material
4103,130.39865375230303,9.618430094865651,6.36131221030872,4.6035289088361635,8.52881021720018,8.82361452772073,8.885657436237418,9.05458638046321,9.314644097577665,9.046961637495063,7.0
305,97.745160259394,7.387123808519444,4.76648806755658,3.374601906251903,6.422563256018289,6.6568313818877005,6.678879108314274,6.783324676214336,6.957335059787468,6.789040019913216,7.0
5075,133.84887555767034,9.867557761640292,6.545175889474136,4.728197393576221,8.73570393138238,9.053648486151065,9.130909444670971,9.313283383798343,9.58656941705834,9.306048355677467,9.0
2021_Sep_01_SR-3501_SN19387Q4__00662.sed,130.0943160260418,9.560663327890888,6.274100529228811,4.533591464929498,8.40818574872829,8.744817839681538,8.842509462973833,9.005734784160275,9.290306158892125,8.985598448021452,5.0
3794,134.16804617642006,9.907008628009823,6.567926911185497,4.738806041618948,8.75955978338331,9.077685911009974,9.15671114470663,9.34276250291931,9.613326530872204,9.339187120711854,9.0
1026,120.78136563985215,8.918465020661007,5.855664565481085,4.218132554607355,7.845636862913319,8.14602448241123,8.216195363911503,8.382869752807288,8.623178503785049,8.370009923727284,2.0
2021_Aug_30_SR-3501_SN19387Q4__00261.sed,89.25634291953025,6.340901011514151,3.9224388207302248,2.824136077614173,5.519973324484006,5.811101560289176,5.8607309708369995,5.93427657968371,6.1817738043694845,5.84342042282326,1.0
4705,108.84662133967772,7.90544651857976,5.06589858280488,3.6427547556337854,6.9254379609742465,7.230036412820601,7.3073724695139815,7.425396630476229,7.663956300472152,7.352354859947625,8.0
aug_mixup_2.0_307917,123.3256045376175,8.86911588338066,5.708418327173048,4.217554361004327,7.728399564005099,8.093507632926372,8.235348384633188,8.422475243857383,8.787546364747946,8.387529414393324,2.0
4202,119.78288121477397,8.821054051411139,5.735945796514886,4.12235936537258,7.743272978639757,8.035100905441833,8.109727164050494,8.270089306080832,8.513988948547595,8.240106925872272,8.0
aug_mixup_4.0_790338,134.62567766885496,9.9371968858379,6.604612803838054,4.765771987866715,8.8006039915147,9.117789168449786,9.19512846758019,9.38111271678043,9.651382609323583,9.376439505155362,4.0
2182,129.6640741666655,9.54151223570987,6.331161446197159,4.5913193029596675,8.502361771491307,8.78513211004029,8.834973658201532,8.993254817088363,9.256449308394725,8.980781791314168,2.0
1047,118.35048419297146,8.734987478415261,5.730578173157641,4.126993803353557,7.6852743524164335,7.977929007271725,8.046298795309427,8.208527486760488,8.445286384018885,8.195269585413708,2.0
2495,109.98577970185612,8.120179117953604,5.281403577239615,3.8051021116244734,7.116246211049223,7.391914217359308,7.463809445346103,7.608981176661757,7.821600185925219,7.580119427869733,8.0
2431,134.90426467353973,9.953390470577652,6.606409592357855,4.770963329476401,8.809398916934187,9.129287568537176,9.20790041088528,9.394215559724897,9.666705202971745,9.389715103537096,9.0
2021_Aug_31_SR-3501_SN19387Q4__00788.sed,132.1921648216154,9.721846766487692,6.387289103849688,4.626901247187311,8.552360317236879,8.882302766192593,8.976300587739557,9.16370281344566,9.456904370958618,9.154393681097224,3.0
aug_mixup_8.0_507179,119.26697538015893,8.71518466197696,5.695171848085018,4.127551361204879,7.71386046308906,8.004786705240594,8.068477435552825,8.20359174331742,8.46281936006413,8.16527596504,8.0
2021_Sep_01_SR-3501_SN19387Q4__00522.sed,126.8433670264306,9.348703426239135,6.131239339521129,4.4276332035235155,8.251292876556382,8.548699921629945,8.61775879827392,8.76616467280207,9.036694385800335,8.767582144598622,5.0
