Sample,red,green,blue,black,Material,Predicted_Label
2021_Aug_31_SR-3501_SN19387Q4__00390.sed,59.68077550863453,43.44332453791807,39.23155852532429,114.85733399617456,0.0,0
2021_Sep_01_SR-3501_SN19387Q4__00717.sed,52.87474184696512,37.84196770415717,33.36437976749713,98.49414183669168,6.0,6
2021_Sep_01_SR-3501_SN19387Q4__00821.sed,59.24733946904439,42.92437277656483,38.669176476787,113.22551614686012,6.0,6
2009,58.51777667141599,42.58070761531445,38.542443317456026,112.39262837861504,7.0,7
2021_Sep_01_SR-3501_SN19387Q4__01051.sed,54.44875013747313,39.00551904482681,35.54673144443369,101.22762085154945,6.0,6
2101,53.21733404650651,38.8622078955141,35.66231242122975,102.2335389195492,8.0,8
2021_Aug_31_SR-3501_SN19387Q4__00455.sed,59.76475351813362,43.48474376082568,39.26690930248412,114.95723067224856,0.0,0
821,52.65614130256137,38.246265377378,34.6485009211276,102.41394815912344,7.0,7
4830,57.86747403815953,42.11321462120823,38.10133359072347,111.15169414279406,7.0,7
2021_Aug_31_SR-3501_SN19387Q4__00191.sed,53.06660261412059,38.56044937004183,35.212510116667886,99.7566966870668,2.0,2
305,43.76819785121148,31.40357249800213,27.81581184123748,82.87722957875674,7.0,7
3602,40.95028237068911,29.45284055468982,26.37753219559865,77.2313012260763,8.0,8
1187,58.42585172868373,42.458660215322055,38.23966725284064,112.00239816477074,7.0,7
2021_Sep_01_SR-3501_SN19387Q4__00104.sed,59.66463313464202,43.41576724201207,39.19790166058623,114.732312462297,4.0,4
1030,57.64829053430181,41.87627214093248,37.6975248591813,110.3721988624787,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00259.sed,59.45739203835137,43.29011298535597,39.076712852685546,114.46969340670104,4.0,4
2021_Sep_01_SR-3501_SN19387Q4__00118.sed,59.67878705425804,43.41498670690802,39.196807202819976,114.73137339728068,4.0,4
4196,52.74731599021108,38.14803310640228,34.169156213662134,99.9273103569476,8.0,8
2021_Aug_30_SR-3501_SN19387Q4__00138.sed,46.45226247006225,33.27065284903113,29.38396214923761,85.00661006007195,1.0,1
2021_Sep_01_SR-3501_SN19387Q4__00004.sed,58.87556811214351,42.84501195309743,38.68132824294685,113.3545645091778,4.0,4
4747,58.79596860132437,42.75311231139413,38.5606298264984,112.87922324197964,9.0,9
3147,59.69117639625962,43.438105840688166,39.2137664709047,114.81705632301244,9.0,9
2021_Aug_31_SR-3501_SN19387Q4__00264.sed,45.03628949604187,33.14655669641356,30.546661602789403,85.82465181434084,2.0,2
285,40.28293585068502,29.014831755990933,25.74886808819162,76.19179903096695,9.0,9
779,49.080288294290106,35.76299776361768,32.73797487997045,96.33024811530946,2.0,2
